page_key,url,block_type,order,title,content
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,0,,상설전시관
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,1,,천체투영관
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,2,,천체관측소
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,3,,메타버스 과학관
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,4,“함께 만드는 우리의 미래”,기후변화로 지구의 온도가 올라가면 우리는 어떻게 될까요?
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,5,“함께 만드는 우리의 미래”,국립어린이과학관 마스코트이자 인공지능＂조이＂를 도와 지구를 지키기 위한 활동을 체험해보아요
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,6,“함께 만드는 우리의 미래”,지구가 아파요
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,7,“함께 만드는 우리의 미래”,사라지는 동물들
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,8,“함께 만드는 우리의 미래”,지구를 구하려면
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,9,“함께 만드는 우리의 미래”,A.I.와 지구구조대
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,10,“함께 만드는 우리의 미래”,목록
AI놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,11,“함께 만드는 우리의 미래”,TOP
