page_key,url,block_type,order,title,content
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,0,,예약안내
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,1,,개인예약
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,2,,단체예약
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,3,,교육예약
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,4,개인예약,"상설전시관 - 오감활용 체험 공간 감각놀이터(1층) - 관찰, 탐구 공간 상상놀이터(2층) - 제작, 활동 공간 창작놀이터(2층) 자세히보기"
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,5,상설전시관,"- 오감활용 체험 공간 감각놀이터(1층) - 관찰, 탐구 공간 상상놀이터(2층) - 제작, 활동 공간 창작놀이터(2층)"
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,6,상설전시관,"천체투영관 밤하늘의 별자리 및 다양한 천문영상을 관람하실 수 있는 돔 영상관 * 유아의 경우, 현장 입장시 등본 확인 자세히보기"
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,7,천체투영관,밤하늘의 별자리 및 다양한 천문영상을 관람하실 수 있는 돔 영상관
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,8,천체투영관,"* 유아의 경우, 현장 입장시 등본 확인"
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,9,예약신청,예약하기
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,10,예약신청,예약 방법 보기
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,11,예약확인 및 취소,"예약할 때 받은 문자 메시지의 URL 에 접속한 후, [신청확인] 메뉴에서 확인 및 취소 하세요. 온라인 예약은 관람일 당일 16시 전까지 가능 하며, 예약 취소는 관람 당일 오전 10시 전까지 신청콕에서 직접 가능 하며 전체 취소 만 가능합니다."
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,12,( 아래의 방법으로 QR입장권을 확인하고 입장하세요 ),모바일 예약 페이지 우측 상단 [신청확인] 선택 -> 신청 내역의 [v] 클릭 후 [입장권] 클릭 -> 국립어린이과학관 내 QR코드 스캐너에 QR코드 스캔 -> 입장
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,13,유의사항,1회 최대 5명(1인 1회)까지 예약이 가능합니다. (5명 이상의 어린이 기관은 단체예약)
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,14,유의사항,"무료입장대상자(우대고객)의 경우, 홈페이지에서 사전예약을 하신 후 매표소에서 관련 증명서를 제시하시면 무료입장권을 발급해드립니다."
개인예약,https://www.applyto.kr/login/v1_register_and_sendSMS.asp?ukey=&School_id=505355&inning=&Z19_SN=15788&part_id=&student_id=&A50_ID=&number_id=&gate_id=,text,15,유의사항,다자녀카드 보유자 : 상설전시관 개인요금의 50% 할인 적용 (홈페이지에서 사전예약 후 매표소에서 신분증과 다자녀카드 제시 시 할인된 금액으로 재결제)
