page_key,url,block_type,order,title,content
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,0,,교육 프로그램
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,1,,과학교육실
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,2,,교육갤러리
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,3,,온라인 과학교육
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,4,,교육자료실
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,5,과학교육실,2F 창작교실
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,7,과학교육실,1F 어린이교실
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,9,과학교육실,"창작교실1 유아(5~7세) 전용 실험, 탐구학습을 할 수 있는 교육 공간 제작공방"
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,11,창작교실1,"창작교실2 다양한 주제(목공, 베이킹, 전시물연계, 응용과학)를 가진 만들기 체험 공간 제작공방"
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,13,창작교실2,"창작교실3 SW코딩, 드론, 3D프린터, VR과정 등 4차 산업혁명 관련 미래핵심기술교육공간 제작공방"
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,15,창작교실3,"창작교실4 게임, 놀이 및 조작활동 등을 통해 생활(건축, 미술, 도형, 암호 등) 속 수학을 탐구하고 창의융합형 미래 인재를 양성하는 공간 제작공방"
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,17,창작교실4,"어린이교실 AR·VR 기기, 3D안경, 3D프로젝터와 각종 과학실험 도구를 갖춘 공간 제작공방"
과학교육실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room,text,19,어린이교실,TOP
