page_key,url,block_type,order,title,content
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,0,,상설전시관
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,1,,천체투영관
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,2,,천체관측소
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,3,,메타버스 과학관
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,4,"“관찰, 세상을 보는 눈”","공룡, 암석, 식물, 곤충, 새 등 자연 속 세상을 어떻게 볼까요?"
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,5,"“관찰, 세상을 보는 눈”",다양한 질문을 따라가며 과학적 사고력을 키우고 디지털 미디어를 활용해 관찰해보아요.
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,6,"“관찰, 세상을 보는 눈”",관찰놀이터 활동지 보기
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,7,"“관찰, 세상을 보는 눈”",다이노 터널
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,8,"“관찰, 세상을 보는 눈”",누구의 알일까?
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,9,"“관찰, 세상을 보는 눈”",암석 요리교실
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,10,"“관찰, 세상을 보는 눈”",도전! 탐조생활
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,11,"“관찰, 세상을 보는 눈”",목록
관찰놀이터,https://www.sciencecenter.go.kr/csc/exhibition-hall/permanent,text,12,"“관찰, 세상을 보는 눈”",TOP
