page_key,url,block_type,order,title,content
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,0,,예약안내
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,1,,개인예약
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,2,,단체예약
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,3,,교육예약
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,4,주말교육 과정,"과학체험 과학체험 과정 자세히보기 과학체험 과학체험에 대한 대상, 교육장소, 교육비, 공지, 예약접수, 문의 정보 기간 연중 대상 유아6세 ~ 초등 4학년 교육장소 1층 어린이교실 교육비 단회성 교육 : 13,000원 공지 개강 15일 전, 과학관 홈페이지 공지 예약접수 홈페이지 온라인 접수결제(신용카드) 문의 02-3668-3304, 3313, 3314, 3318 ×"
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,table,5,과학체험,"기간 | 연중
대상 | 유아6세 ~ 초등 4학년
교육장소 | 1층 어린이교실
교육비 | 단회성 교육 : 13,000원
공지 | 개강 15일 전, 과학관 홈페이지 공지
예약접수 | 홈페이지 온라인 접수결제(신용카드)
문의 | 02-3668-3304, 3313, 3314, 3318"
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,6,과학체험,×
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,7,과학체험,"AI공학교실 4차 산업혁명 미래기술과정 자세히보기 AI공학교실 어린이 AI공학교실에 대한 대상, 교육장소, 교육비, 공지, 예약접수, 문의 정보 기간 상반기(3 ~ 6월), 하반기(9 ~ 12월) 대상 초등 1 ~ 4학년 교육장소 2층 창작교실3 교육비 4회차 교육 : 50,000원 2회차 교육 : 25,000원 단회성 교육 : 13,000원 공지 두 번째 수요일, 과학관 홈페이지 공지 예약접수 홈페이지 온라인 접수결제(신용카드) 문의 02-3668-3304, 3313, 3314, 3318 ×"
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,table,8,AI공학교실,"기간 | 상반기(3 ~ 6월), 하반기(9 ~ 12월)
대상 | 초등 1 ~ 4학년
교육장소 | 2층 창작교실3
교육비 | 4회차 교육 : 50,000원 2회차 교육 : 25,000원 단회성 교육 : 13,000원
공지 | 두 번째 수요일, 과학관 홈페이지 공지
예약접수 | 홈페이지 온라인 접수결제(신용카드)
문의 | 02-3668-3304, 3313, 3314, 3318"
교육예약,https://www.sciencecenter.go.kr/csc/reserve/edu-reservecation_creation.jsp,text,9,AI공학교실,×
