page_key,url,block_type,order,title,content
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,0,,예약안내
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,1,,개인예약
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,2,,단체예약
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,3,,교육예약
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,4,단체예약,"상설전시관 - 오감활용 체험 공간 감각놀이터(1층) - 관찰, 탐구 공간 상상놀이터(2층) - 제작, 활동 공간 창작놀이터(2층) 자세히보기"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,5,상설전시관,"- 오감활용 체험 공간 감각놀이터(1층) - 관찰, 탐구 공간 상상놀이터(2층) - 제작, 활동 공간 창작놀이터(2층)"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,6,상설전시관,천체투영관 밤하늘의 별자리 및 다양한 천문영상을 관람하실 수 있는 돔 영상관 *연나이 4세 이상 입장 가능 자세히보기
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,7,천체투영관,밤하늘의 별자리 및 다양한 천문영상을 관람하실 수 있는 돔 영상관 *연나이 4세 이상 입장 가능
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,8,천체투영관,해설 프로그램 전시물과 연계한 과학 동화 해설 ‘얼큰이와 코뿔이’ 자세히보기
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,9,해설 프로그램,전시물과 연계한 과학 동화 해설 ‘얼큰이와 코뿔이’
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,10,예약신청,예약하기
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,11,예약신청,* 단체관람 시 참고 바랍니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,12,예약신청,단체관람 안내서
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,13,예약신청,"* [예약하기]를 클릭하거나, QR을 스캔하면 예약 페이지로 이동 합니다. * 문자 메시지로 받은 URL을 PC 인터넷에 입력하면, PC 신청 가능합니다."
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,14,예약신청,예약 방법 보기
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,15,예약확인 및 취소,"예약할 때 받은 문자 메시지의 URL 에 접속한 후, [신청확인] 메뉴에서 확인 및 취소 하세요. 온라인 예약은 방문일로부터 2일전까지, 취소의 경우 방문일 1일 전까지 취소할 수 있습니다."
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,16,단체관람 이용 안내,단체 관람은 반드시 온라인 사전예약 후(방문일로부터 2일전까지 예약 가능) 이용할 수 있습니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,17,단체관람 이용 안내,"단체 예약은 평일(화~금) 에만 가능합니다. - 주말, 공휴일은 예약이 불가합니다. - 2026년 단체관람 예약은 상반기까지 예약 가능합니다. (하반기 예약 오픈일 : 미정)"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,18,단체관람 이용 안내,단체 예약은 5인 이상부터 가능합니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,19,상설전시관 단체관람 이용 안내,대상: 초등학생 이하의 어린이 단체(연나이 12세까지)
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,20,상설전시관 단체관람 이용 안내,예약가능 인원 : 회차별 ~ 200명(총 4회차) * 이용시간 확대를 목적으로 여러 회차를 중복 예약하는 것은 불가합니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,21,상설전시관 단체관람 이용 안내,"이용 시간 : 180분(상설전시관, 천체투영관) * 관람시간 연장 불가 * 휴게실 이용시간은 관람시간 안에 포함 (방문일 매표소에서 선착순 신청)"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,table,22,"학기 운영시간표(3~6월, 9~12월)","회차 | 입장시간 | 퇴장시간 | 예약인원 | 이용대상 | 이용시간
1회차 | 9:30 | 12:30 | 회차별 200명 | 유아 및 초등학생 | 회차별 180분
2회차 | 10:30 | 13:30
3회차 | 11:30 | 14:30
4회차 | 12:30 | 15:30"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,table,23,"방학 운영시간표(1~2월, 7~8월)","회차 | 입장시간 | 퇴장시간 | 예약인원 | 이용대상 | 이용시간
1회차 | 9:30 | 12:30 | 회차별 200명 | 유아 및 초등학생 | 회차별 180분
2회차 | 10:30 | 13:30
3회차 | 11:30 | 14:30"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,24,"방학 운영시간표(1~2월, 7~8월)","※ 방학기간인 1~2월, 7~8월에는 입장시간 09:30, 10:30, 11:30으로 총 3 회차로 운영하며, 예약인원은 회차별로 200명 입니다. (관람시간 180분 동일)"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,25,천체투영관 단체관람 이용 안내,대상: 상설전시관 단체 예약을 완료한 유아 및 초등 단체
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,26,천체투영관 단체관람 이용 안내,"예약가능 인원: 회차별 유아, 초등학생 5인 이상~65명"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,table,27,운영시간표,"회차 | 단체입장 마감시간 | 소요시간 | 프로그램명 | 단체 인원 | 권장 연령 연나이 기준(연나이=현재년도-출생년도)
1회 | 10:05 | 30분 | 별자리해설+코코몽 우주탐험 | 65명 | 유아 이상
2회 | 11:05 | 30분 | 별자리해설+길냥이 키츠 슈퍼문 대모험 | 65명 | 유아 이상
3회 | 12:05 | 30분 | 바니 앤 비니 | 65명 | 유아 이상
4회 | 14:05 | 30분 | 다이노소어 | 65명 | 초등학생 이상
5회 | 15:05 | 30분 | 별자리해설+길냥이 키츠 우주정거장의 비밀 | 65명 | 유아 이상
6회 | 16:05 | 30분 | 바니 앤 비니 | 65명 | 유아 이상"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,28,운영시간표,"※ 원활한 입장을 위해 55분까지 결제 완료 후 정각까지 천체투영관으로 입장인원 모두 도착 (예: 1회차 예약 시 9시 55분까지 결제 후 10시까지 천체투영관 앞으로 도착 필요! ) → 사전 안내 및 화장실 이용 후 입장 * 인원확인 및 결제로 시간이 지체되어 입장이 불가할 수 있으니, 여유있게 도착해주세요. * 일찍 도착하여 상설전시장을 관람하시는 경우에도 정각까지 천체투영관 앞에 모든 인원 도착해주셔야 합니다. ( 입장 마감시간 내에 오시지 않을 경우 입장이 제한될 수 있습니다. ) ※ 천체투영관 단체관람 시 인솔자 1명 이상 반드시 동반 필수 ※ 연나이 4세 단체의 경우 어린이 5인당 인솔자 1인 이상의 입장 필요(연나이 = 현재년도-출생년도) ※ 2023년생, 2024년생, 2025년생, 2026년생 입장 불가"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,29,과학동화해설 참여 안내,"대상: 상설전시관 단체 예약을 완료한 유아, 5~6세 권장"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,30,과학동화해설 참여 안내,예약 가능 인원: 10 ~ 40명
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,31,과학동화해설 참여 안내,시간: 10시 40분(소요시간 15분)
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,32,과학동화해설 참여 안내,장소: 2층 공룡 전시물 앞
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,33,과학동화해설 참여 안내,비용: 무료
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,34,과학동화해설 참여 안내,내용: 전시물과 연계된 대형 공룡 그림책을 과학해설사가 읽어주는 프로그램
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,35,과학동화해설 참여 안내,※ 해당 프로그램은 상설전시관 단체 예약 후 신청 가능합니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,table,36,요금 및 결제,"구분 | 유아(6세이하) | 초등학생 | 비고
상설전시관 | 무료 | 무료 | 적용 기간 : 2026.1.2.~2026.6.30."
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,37,요금 및 결제,적용 기간 : 2026.1.2.~2026.6.30.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,38,요금 및 결제,천체투영관: 일반요금(단체요금 할인 미적용)
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,table,39,요금 및 결제,"구분 | 유아(4~6세) 연나이 기준(연나이=현재년도-출생년도) | 초등학생 | 성인 | 비고
천체투영관 | 1,000원 | 1,000원 | 1,500원 | 인솔자 유료"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,40,요금 및 결제,결제방식 : 온라인 사전 예약 후 현장결제 천체투영관 4세 단체의 경우 어린이 5인당 인솔자 1인 입장이 필요합니다. 사전예약 인원과 현장방문 인원이 다를 시엔 반드시 확인 후 결제 바랍니다. 결제 비용이 없는 경우에도 안내데스크에서 예약 확인 후 단체티켓을 발권 받고 입장해주시기 바랍니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,41,요금 및 결제,천체투영관 4세 단체의 경우 어린이 5인당 인솔자 1인 입장이 필요합니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,42,요금 및 결제,사전예약 인원과 현장방문 인원이 다를 시엔 반드시 확인 후 결제 바랍니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,43,요금 및 결제,결제 비용이 없는 경우에도 안내데스크에서 예약 확인 후 단체티켓을 발권 받고 입장해주시기 바랍니다.
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,44,요금 및 결제,< 참고 >
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,45,요금 및 결제,"초·중등 교육법에 의한 정규 학급단위 단체(인솔교사 동반)의 경우 20인 미만이어도 예외적으로 할인이 가능합니다. (예: 읍면 및 도서벽지 소규모 학교, 특수학급 등) ＊ 단 증빙 자료(학교 인원 현황 등 객관적으로 증빙 가능한 자료) 제출 시 적용"
단체예약,https://www.sciencecenter.go.kr/csc/reserve/group,text,46,사전답사,"단체관람 인솔자를 대상으로 평일(화~금) 15시이후 방문 가능하며, 발권 마감은 17시입니다. (※주말 및 공휴일은 사전답사 불가)"
