page_key,url,block_type,order,title,content
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,0,,상설전시관
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,1,,천체투영관
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,2,,천체관측소
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,3,,메타버스 과학관
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,4,과학관맵 소개,"과학관에 실제로 있는 다양한 전시품부터 점프 게임, 드라이빙 등 재미있는 놀거리 체험"
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,5,과학관맵 소개,실내·외 모습을 그대로 재현한 과학관
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,6,과학관맵 소개,[OX 퀴즈] 환경보호를 인공지능에게 가르치기 위해서는 우리가 먼저 환경 보호에 대해 바르게 알아야해요. OX 퀴즈를 모두 맞추면 푸르른 지구에 도착해요. 만약 정답을 맞추지 못한다면… 지구의 모습은 어떻게 될까요?
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,7,과학관맵 소개,[달리기존(Run!)] 달리기존 입구의 버튼을 누르면 스톱워치가 시작돼요. 누가 먼저 도착할지 대결해보아요.
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,8,과학관맵 소개,"[공룡월드] 2층으로 올라가면 내몸보다 더 큰 식물과 함께 공룡알도 찾아볼 수 있어요. 초식공룡, 육식공룡과 함께 사진도 찍어보아요."
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,9,과학관맵 소개,[행성 점프존 - 우주기지] 과학관 옥상에서 위를 쳐다보면 넓은 우주에 떠있는 행성과 우주기지를 보았나요? 직접 점프해서 행성에 올라보고 사진도 찍으면서 정상까지 도전해보아요.
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,10,과학관맵 소개,[미로탈출] 옥상에서 내려다보면 미로가 보여요. 여러분들은 빠르게 탈출에 성공할 수 있을까요?
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,11,과학관맵 소개,[드라이빙존] 나의 마음에 드는 차를 선택하고 주변을 한바퀴 돌아보아요.
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,12,과학관맵 소개,제페토 가이드
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,13,과학관맵 소개,pc로 체험하기
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,14,과학관맵 소개,과학관 계정 보기
메타버스과학관,https://www.sciencecenter.go.kr/csc/exhibition-hall/metaverse,text,15,과학관맵 소개,TOP
