page_key,url,block_type,order,title,content
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,0,,교육 프로그램
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,1,,과학교육실
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,2,,교육갤러리
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,3,,온라인 과학교육
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,4,,교육자료실
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,5,어린이교실,추천연령 초1 ~ 4학년
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,6,어린이교실,체험시간 60 ~ 90분
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,7,어린이교실,체험인원 16명 내외
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,8,1. 소개,"AR·VR 기기, 3D안경, 3D프로젝터와 각종 과학실험 도구를 갖춘 공간으로 1층에 위치해 있으며, 디지털 과학실험과 기초과학실험이 융합된 프로그램을 운영합니다."
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,9,2. 좌석현황 및 예매방법,① 좌석현황 : 20석 ② 예매방법 :인터넷 예매(현장발권은 인터넷 예매 후 잔여석 발권)
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,10,2. 좌석현황 및 예매방법,① 좌석현황 : 20석
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,11,2. 좌석현황 및 예매방법,② 예매방법 :인터넷 예매(현장발권은 인터넷 예매 후 잔여석 발권)
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,12,2. 좌석현황 및 예매방법,목록
어린이교실,https://www.sciencecenter.go.kr/csc/science-edu/edu-room/exhibitinfo_59.jsp,text,13,2. 좌석현황 및 예매방법,TOP
