page_key,url,block_type,order,title,content
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,0,,인사말
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,1,,과학관현황
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,2,,관람안내
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,3,,정보공개
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,4,,연혁
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,5,,조직도
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,6,,시설안내
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,7,연혁,"2017 12 국립어린이과학관 개관식 거행 08 '17.08월 서울과학관을 국립어린이과학관으로 기관명칭 변경 * 「책임운영기관법 시행령」 개정(‘17.8.7. 공포, ’17.10.10. 시행)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,8,연혁,12 국립어린이과학관 개관식 거행
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,9,연혁,국립어린이과학관 개관식 거행
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,10,연혁,"08 '17.08월 서울과학관을 국립어린이과학관으로 기관명칭 변경 * 「책임운영기관법 시행령」 개정(‘17.8.7. 공포, ’17.10.10. 시행)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,11,연혁,"'17.08월 서울과학관을 국립어린이과학관으로 기관명칭 변경 * 「책임운영기관법 시행령」 개정(‘17.8.7. 공포, ’17.10.10. 시행)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,12,연혁,2015 3 국립어린이과학관 건립 기본계획 수립 사업기간 : '15~'17(3년)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,13,연혁,3 국립어린이과학관 건립 기본계획 수립 사업기간 : '15~'17(3년)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,14,연혁,국립어린이과학관 건립 기본계획 수립 사업기간 : '15~'17(3년)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,15,연혁,2008 11 국립과천과학관의 소속기관으로 전환
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,16,연혁,11 국립과천과학관의 소속기관으로 전환
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,17,연혁,국립과천과학관의 소속기관으로 전환
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,18,연혁,"1990 10 국립중앙과학관을 대전으로 이관하여 개관 ※ 서울과학관으로 명칭변경, 중앙과학관 2차 소속기관 전환 04 국립중앙과학관으로 개칭"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,19,연혁,"10 국립중앙과학관을 대전으로 이관하여 개관 ※ 서울과학관으로 명칭변경, 중앙과학관 2차 소속기관 전환"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,20,연혁,"국립중앙과학관을 대전으로 이관하여 개관 ※ 서울과학관으로 명칭변경, 중앙과학관 2차 소속기관 전환"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,21,연혁,04 국립중앙과학관으로 개칭
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,22,연혁,국립중앙과학관으로 개칭
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,23,연혁,1979 07 산업기술관 개관(현 국립어린이과학관 건물)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,24,연혁,07 산업기술관 개관(현 국립어린이과학관 건물)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,25,연혁,산업기술관 개관(현 국립어린이과학관 건물)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,26,연혁,"1972 09 제2차 과학관 개관(1, 2, 3층 상설전시실)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,27,연혁,"09 제2차 과학관 개관(1, 2, 3층 상설전시실)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,28,연혁,"제2차 과학관 개관(1, 2, 3층 상설전시실)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,29,연혁,1969 04 문교부로부터 과학기술처로 이관
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,30,연혁,04 문교부로부터 과학기술처로 이관
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,31,연혁,문교부로부터 과학기술처로 이관
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,32,연혁,"1962 08 제1차 과학관 개관(전시실 40평, 영사실 79평 370석 등) 03 국립과학관 청사 이전(남산 → 창경궁옆)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,33,연혁,"08 제1차 과학관 개관(전시실 40평, 영사실 79평 370석 등)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,34,연혁,"제1차 과학관 개관(전시실 40평, 영사실 79평 370석 등)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,35,연혁,03 국립과학관 청사 이전(남산 → 창경궁옆)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,36,연혁,국립과학관 청사 이전(남산 → 창경궁옆)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,37,연혁,1960 08 국립과학관 건립부지 확정(현 국립어린이과학관 부지)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,38,연혁,08 국립과학관 건립부지 확정(현 국립어린이과학관 부지)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,39,연혁,국립과학관 건립부지 확정(현 국립어린이과학관 부지)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,40,연혁,1950 09 6․25전쟁으로 건물 소실
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,41,연혁,09 6․25전쟁으로 건물 소실
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,42,연혁,6․25전쟁으로 건물 소실
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,43,연혁,1949 10 제1회 전국과학전람회 개최 07 국립과학관으로 개편(과학관직제 제정)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,44,연혁,10 제1회 전국과학전람회 개최
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,45,연혁,제1회 전국과학전람회 개최
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,46,연혁,07 국립과학관으로 개편(과학관직제 제정)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,47,연혁,국립과학관으로 개편(과학관직제 제정)
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,48,연혁,1945 10 국립과학박물관으로 개칭
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,49,연혁,10 국립과학박물관으로 개칭
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,50,연혁,국립과학박물관으로 개칭
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,51,연혁,"1927 05 과학관 개관(남산 왜성대, 구 조선총독부 건물)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,52,연혁,"05 과학관 개관(남산 왜성대, 구 조선총독부 건물)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,53,연혁,"과학관 개관(남산 왜성대, 구 조선총독부 건물)"
연혁,https://www.sciencecenter.go.kr/csc/intro/history,text,54,연혁,TOP
