page_key,url,block_type,order,title,content
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,0,,인사말
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,1,,과학관현황
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,2,,관람안내
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,3,,정보공개
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,4,국립어린이과학관에 오신것을 환영합니다.,"국립어린이과학관은 어린이들이 보고, 만지고, 스스로 질문하며 과학을 경험할 수 있도록 만들어진 공간입니다."
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,5,국립어린이과학관에 오신것을 환영합니다.,"과학은 정답을 외우는 지식이 아니라, 세상을 이해하고 미래를 준비하는 생각의 과정입니다."
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,6,국립어린이과학관에 오신것을 환영합니다.,"국립어린이과학관은 이러한 과학의 본질을 놀이와 체험, 탐구를 통해 어린이 눈높이에 맞게 전달하는 배움의 장이 되고자 합니다."
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,7,국립어린이과학관에 오신것을 환영합니다.,"앞으로도 인공지능, 환경 변화, 미래 사회 등 우리 아이들이 살아갈 세상과 맞닿은 주제들을 쉽고 흥미로운 전시와 교육 프로그램으로 풀어내며, 어린이와 가족, 모두가 함께 소통하는 열린 과학문화 공간으로 나아가겠습니다."
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,8,국립어린이과학관에 오신것을 환영합니다.,"호기심이 자라고, 과학이 즐거워지는 곳"
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,9,국립어린이과학관에 오신것을 환영합니다.,국립어린이과학관으로 여러분을 초대합니다.
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,10,국립어린이과학관에 오신것을 환영합니다.,국립어린이과학관장 | 박 지 영
인사말,https://www.sciencecenter.go.kr/csc/intro/greeting,text,11,국립어린이과학관에 오신것을 환영합니다.,TOP
