page_key,url,block_type,order,title,content
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,0,,인사말
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,1,,과학관현황
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,2,,관람안내
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,3,,정보공개
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,4,,이용안내
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,5,,오시는 길
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,6,,자주묻는질문
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,7,자주묻는질문,궁금한 점이 있으시면 검색해 보세요!
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,8,자주묻는질문,전체
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,10,자주묻는질문,예약
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,12,자주묻는질문,방문
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,14,자주묻는질문,"관람,체험"
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,16,자주묻는질문,단체
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,18,자주묻는질문,편의시설
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,20,자주묻는질문,총 31 건
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,21,자주묻는질문,"질문 연나이는 어떻게 계산하나요? 답변 현재년도 - 출생년도 (예시) 2026 - 2022 = 연나이 4세 * 천체투영관, 천문행사, 교육 프로그램 신청 전 참여 가능 연령을 확인해 주세요. * 연령 확인을 위해 등본 등을 요청할 수 있습니다."
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,22,자주묻는질문,연나이는 어떻게 계산하나요?
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,23,자주묻는질문,"현재년도 - 출생년도 (예시) 2026 - 2022 = 연나이 4세 * 천체투영관, 천문행사, 교육 프로그램 신청 전 참여 가능 연령을 확인해 주세요. * 연령 확인을 위해 등본 등을 요청할 수 있습니다."
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,24,자주묻는질문,현재년도 - 출생년도
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,25,자주묻는질문,(예시) 2026 - 2022 = 연나이 4세
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,26,자주묻는질문,"* 천체투영관, 천문행사, 교육 프로그램 신청 전 참여 가능 연령을 확인해 주세요."
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,27,자주묻는질문,* 연령 확인을 위해 등본 등을 요청할 수 있습니다.
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,28,자주묻는질문,"질문 과학관 입장권은 어디서 구매하나요? 답변 온라인 예약을 하지 않은 경우, 1층 안내데스크에서 잔여석 및 입장인원 확인 후 입장권을 결제해주시면 됩니다."
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,29,자주묻는질문,과학관 입장권은 어디서 구매하나요?
자주묻는질문,https://www.sciencecenter.go.kr/csc/intro/faqkid=10&type=F&page=1,text,30,자주묻는질문,"온라인 예약을 하지 않은 경우, 1층 안내데스크에서 잔여석 및 입장인원 확인 후 입장권을 결제해주시면 됩니다."
