page_key,url,block_type,order,title,content
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,0,,상설전시관
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,1,,천체투영관
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,2,,천체관측소
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,3,,메타버스 과학관
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,4,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,참여연령 4세이상(연나이 기준)
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,5,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,운영요일 금요일(60분)
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,6,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,체험인원 25명
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,7,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,천체관측소
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,8,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,체험방법 야간관측 ① 천체투영관에서 별자리해설을 듣고 돔 영상을 관람한다. ② 천체관측소에서 천체를 관측한다. ③ 관측한 천체에 대해 담당자의 지도를 통해 이해한다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,9,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,① 천체투영관에서 별자리해설을 듣고 돔 영상을 관람한다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,10,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,② 천체관측소에서 천체를 관측한다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,11,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,③ 관측한 천체에 대해 담당자의 지도를 통해 이해한다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,12,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,"이용방법 야간관측 1. 참가신청: 인터넷 사전예약(선착순) 예약 가능일: 행사일 1주일 전 20시 (예약 오픈) ~ 행사 1일 전 예약 취소 가능일: ~행사 당일 16시 * 기상상황 악화 등으로 참여 인원 6명 이하일 시 행사가 자동 취소됩니다. 2. 관측일정 및 시간 * 매주 금요일 야간 운영 * 일몰 시간에 의해 운영시간이 계속 변동됩니다.(매달 마지막 주 수요일 공지) 회차,시간,영상물(으)로 구성된 테이블 프로그램 운영요일 운영시간 관측대상 참여연령 참가비 야간관측 금요일 매달 마지막 주 수요일에 공지 (공지사항을 참고해주세요.) 달, 행성, 별 등 (당일 관측 가능한 천체) 4세이상(연나이 기준) 5,000원 (연령구분 없음) ※미취학 아동은 보호자 동반 필수 4세미만은 보호자가 동반하여도 안전상의 문제로 참여가 불가합니다.(연나이 기준) 3. 프로그램 시간표 회차,시간,영상물(으)로 구성된 테이블 소요시간 내용 장소 비고 15분 입장 시작 15분 전 입장 가능 25분 별자리 해설 및 천체투영관 영상관람 천체투영관 5분 이동 기상악화시 대체프로그램 운영 (별자리 글라스데코) 30분 천체관측 천체관측소"
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,13,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,1. 참가신청: 인터넷 사전예약(선착순) 예약 가능일: 행사일 1주일 전 20시 (예약 오픈) ~ 행사 1일 전 예약 취소 가능일: ~행사 당일 16시 * 기상상황 악화 등으로 참여 인원 6명 이하일 시 행사가 자동 취소됩니다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,14,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,예약 가능일: 행사일 1주일 전 20시 (예약 오픈) ~ 행사 1일 전 예약 취소 가능일: ~행사 당일 16시 * 기상상황 악화 등으로 참여 인원 6명 이하일 시 행사가 자동 취소됩니다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,15,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,예약 취소 가능일: ~행사 당일 16시 * 기상상황 악화 등으로 참여 인원 6명 이하일 시 행사가 자동 취소됩니다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,16,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,"2. 관측일정 및 시간 * 매주 금요일 야간 운영 * 일몰 시간에 의해 운영시간이 계속 변동됩니다.(매달 마지막 주 수요일 공지) 회차,시간,영상물(으)로 구성된 테이블 프로그램 운영요일 운영시간 관측대상 참여연령 참가비 야간관측 금요일 매달 마지막 주 수요일에 공지 (공지사항을 참고해주세요.) 달, 행성, 별 등 (당일 관측 가능한 천체) 4세이상(연나이 기준) 5,000원 (연령구분 없음) ※미취학 아동은 보호자 동반 필수 4세미만은 보호자가 동반하여도 안전상의 문제로 참여가 불가합니다.(연나이 기준)"
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,table,17,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,"프로그램 | 운영요일 | 운영시간 | 관측대상 | 참여연령 | 참가비
야간관측 | 금요일 | 매달 마지막 주 수요일에 공지 (공지사항을 참고해주세요.) | 달, 행성, 별 등 (당일 관측 가능한 천체) | 4세이상(연나이 기준) | 5,000원 (연령구분 없음)"
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,18,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,※미취학 아동은 보호자 동반 필수 4세미만은 보호자가 동반하여도 안전상의 문제로 참여가 불가합니다.(연나이 기준)
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,19,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,"3. 프로그램 시간표 회차,시간,영상물(으)로 구성된 테이블 소요시간 내용 장소 비고 15분 입장 시작 15분 전 입장 가능 25분 별자리 해설 및 천체투영관 영상관람 천체투영관 5분 이동 기상악화시 대체프로그램 운영 (별자리 글라스데코) 30분 천체관측 천체관측소"
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,table,20,천체망원경으로 달과 행성을 관측할 수 있는 어린이 천체관측소,"소요시간 | 내용 | 장소 | 비고
15분 | 입장 |  | 시작 15분 전 입장 가능
25분 | 별자리 해설 및 천체투영관 영상관람 | 천체투영관 | 
5분 | 이동 |  | 기상악화시 대체프로그램 운영 (별자리 글라스데코)
30분 | 천체관측 | 천체관측소"
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,21,유의사항,프로그램 참여시 음식물 반입을 금지합니다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,22,유의사항,"눈, 비, 구름 등으로 인한 기상 악화 시 ‘관측’ 은 운영되지 않습니다.(‘별자리 글라스데코’로 대체됩니다.)"
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,23,유의사항,미취학 아동은 안전문제로 보호자가 함께 예약해주셔야 합니다. 4세미만은 보호자가 동반하여도 안전상의 문제로 참여가 불가합니다.(연나이 기준)
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,24,유의사항,일몰시간에 따라 운영시간이 매달 다르므로 반드시 확인 후 예약해주세요. (매달 마지막 주 수요일에 공지)
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,25,유의사항,프로그램은 사정에 의해 변경될 수 있습니다.
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,26,유의사항,"예약 인원이 6인 이하인 경우 프로그램이 운영되지 않습니다. (기상상황에 따라 당일까지 예약자분들의 취소가 가능하므로, 참여인원이 6인 이하 시 당일에도 프로그램은 자동 취소됩니다.)"
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,27,유의사항,"※ 참여 인원 6명 이하로 행사가 자동 취소될 경우 프로그램 운영 여부의 확정이 16시 이후 확정되며, 자동 취소될 경우 16시 이후 개별 연락드립니다."
천체관측소,https://www.sciencecenter.go.kr/csc/exhibition-hall/observatory,text,28,유의사항,TOP
