page_key,url,block_type,order,title,content
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,0,,상설전시관
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,1,,천체투영관
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,2,,천체관측소
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,3,,메타버스 과학관
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,4,실감나는 돔영상을 관람할 수 있는 어린이 천체투영관,추천연령 4세 이상(연나이 기준)
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,5,실감나는 돔영상을 관람할 수 있는 어린이 천체투영관,상영시간 약 30분
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,6,실감나는 돔영상을 관람할 수 있는 어린이 천체투영관,관람좌석 65석
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,7,실감나는 돔영상을 관람할 수 있는 어린이 천체투영관,천체투영관
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,8,실감나는 돔영상을 관람할 수 있는 어린이 천체투영관,"1. 소개 11m 원형 돔스크린과 4K 레이저 프로젝터를 통해 기상상황에 관계없이 언제라도 재미있는 천문영상을 관람하실 수 있으며, 다양한 천문현상들을 시뮬레이션으로 감상할 수 있습니다."
천체투영관,https://www.csc.go.kr/new1/centers/space.jsp,text,9,실감나는 돔영상을 관람할 수 있는 어린이 천체투영관,"11m 원형 돔스크린과 4K 레이저 프로젝터를 통해 기상상황에 관계없이 언제라도 재미있는 천문영상을 관람하실 수 있으며, 다양한 천문현상들을 시뮬레이션으로 감상할 수 있습니다."
