1F (행동놀이터/Activity Zone) 우리 몸 탐험으로 건강한 어린이 되기,,,,,,,,,,,
ID,분류,전시형태,작동방식,제목,내용,세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
행동-1,"제빠르게! 날쎄게!
Check your speed!",체험,"터치 디스플레이
(신체활동)","민첩성
Agility",자극에 빠르게 반응하거나 몸의 위치와 방향을 재빠르고 정확하게 바꾸는 능력이에요. 민첩성을 키우면 몸의 근육이나 뼈가 다치는 것을 예방할 수 있어요.,"같이 탈 치타를 골라주세요(체험 높이가 달라져요)
 치치와 하이파이브 해요!",날쌘돌이 치치 CHEE-CHEE (캐릭터),정상,없음,,
,,,,체험방법,화면에 나오는 치치의 발바닥과 빠르게 하이파이브 해봐요!,-,,,,,
행동-2,"심장이 쿵쾅쿵쾅!
Check your heart health!",체험,"작동형
(신체활동)","심폐지구력
Cardiovascular Endurance","심장과 폐가 강도 높은 신체 활동을 오래 유지할 수 있는 능력이에요. 심폐지구력이 좋을수록 쉽게 지치지 않고 오래 운동할 수 있어요. 달리기, 수영, 자전거 타기 등을 통해 심폐지구력을 키울 수 있어요.
내 심폐지구력을 확인해 볼까요?
운동을 할 때는 최대 유산소 심박수를 넘기지 않는 것이 좋아요.
최대 심박수= 180- 나이 (단, 16세 이하는 최대 심박수를 165로 계산해요)","운동을 하면 심장이 점점 빠르게 뛰어요.
심장이 튼튼할수록 높아진 심박수가 빠르게 제자리로 돌아옵니다.
나의 심박수를 알아볼까요?
손잡이를 잡으면 체험을 시작합니다.","느릿느릿 타타 TATA
(캐릭터)",,,,
,,,,체험방법,"1. 손잡이에 있는 심박측정기를 잘 잡고 심박수가 제대로 측정되는지 확인하세요.
2. 화면의 안내에 따라 체험을 진행해 주세요.",,,,,,
행동-3,"으라차차! 힘 겨루기
Check your strength!",체험,"작동형
(신체활동)","근력
Muscular Strength",우리 몸의 근육이 한 번에 최대로 내는 힘이에요. 근력이 좋을수록 무거운 물건을 쉽게 들 수 있어요. 꾸준하고 규칙적인 운동을 통해 근력을 키울 수 있어요.,,"천하장사 CO-CO 코코
인간 VS 코끼리
(캐릭터)",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,체험방법,"1. 코코와 함께 줄다리기를 해보아요.
2. 화면 속 숫자를 보고 내 근력을 확인해요.",,,,,,
행동-4,"높이 높이, 폴짝!
Check your jump power!",체험,신체활동,"순발력
Power",짧은 시간 내에 순간적으로 강한 힘을 내는 능력이에요. 순발력을 키우면 빨리 달리거나 높이 뛰거나 공을 멀리 던질 수 있어요.,"120~180cm
화살표 방향으로 가면서 살살 쳐주세요","높이뛰기 선수 푸푸
PUPU(캐릭터)
※ 가벽을 때려 골절사고 발생 2회 → 개선 필요",,,,
,,,,체험방법,푸푸처럼 힘껏 뛰어올라 벽에 달린 공을 쳐보아요.,,,,,,
행동-5,"사뿐사뿐, 우아하게!
Walk with balance!",체험,미디어월,"평형성
Balance","몸의 균형을 잘 잡는 능력을 말해요.
평형성을 키우면 넘어지지 않고 안정적인 자세로 움직일 수 있어요. 먀옹이처럼 균형을 잡고 우아하게 걸어볼까요?",,,,,,
,,,,,,,,,,,
,,,,체험방법,바닥에 있는 디딤돌이나 평균대를 따라 균형을 잘 잡고 걸어보아요.,,"체조선수 먀옹 Meow
(캐릭터)",,,,
