title,content,detail,category
매표소,매표소는 1층에 있어요.,1층,시설안내
안내데스크,안내데스크는 1층에 있어요.,1층,시설안내
수유실,수유실은 과학관 로비 1층 계단 뒤에 있어요.,과학관 로비 1층 계단 뒤,시설안내
유아휴게실,유아휴게실은 과학관 로비 1층 계단 뒤에 있어요.,과학관 로비 1층 계단 뒤,시설안내
의무실,의무실은 과학관 로비 1층 계단 뒤에 있어요.,과학관 로비 1층 계단 뒤,시설안내
물품보관함,물품보관함(락커)은 1층과 2층에 있어요.,1층과 2층,시설안내
유모차대여,유모차 대여는 1층에서 할 수 있어요.,1층,시설안내
휠체어대여,휠체어 대여는 1층에서 할 수 있어요.,1층,시설안내
휴게실,휴게실은 2층 출입구 맞은편에 있어요. 엉금엉금놀이터(4세 미만 영아 놀이터)가 휴게실 내부에 있어요.,2층 출입구 맞은편 / 엉금엉금놀이터 포함,시설안내
엉금엉금놀이터,엉금엉금놀이터는 2층 출입구 맞은편 휴게실 내부에 있어요. 4세 미만 영아 놀이터예요.,2층 출입구 맞은편 휴게실 내부 / 4세 미만 영아 놀이터,시설안내
옥상,3층 옥상에 하늘마당이 있어요.,3층 옥상,시설안내
꿈트리 동산,꿈트리 동산은 1층에 있어요. 창경궁 방향이에요.,1층 / 창경궁 방향,시설안내
